X,Y,Z,Cp
1.004250097422894754e+02,0.000000000000000000e+00,-2.909038918022851306e+00,-5.788970303353448976e+00
1.086860833199751823e+02,0.000000000000000000e+00,-4.241254118060453493e-01,-5.708775465375320657e+00
1.171711398493852698e+02,0.000000000000000000e+00,1.257869595638318572e+00,-5.558006164839246033e+00
1.257941228494786401e+02,0.000000000000000000e+00,1.920870051033830350e+00,-5.340760184449804271e+00
1.342049063966928486e+02,0.000000000000000000e+00,1.539665364666007008e+00,-5.073712475744781791e+00
1.423668389431589389e+02,0.000000000000000000e+00,9.079463136086900477e-01,-4.770216607583694035e+00
1.505138594171395994e+02,0.000000000000000000e+00,1.548626731167388471e-01,-4.430884643713171478e+00
1.586631848693437803e+02,0.000000000000000000e+00,-7.185713851680546327e-01,-4.062070446010945801e+00
1.667913540835217532e+02,0.000000000000000000e+00,-1.708101888690961800e+00,-3.671909392578328823e+00
1.748750901446309456e+02,0.000000000000000000e+00,-2.808353119894377414e+00,-3.268697099951649587e+00
1.828913623331685585e+02,0.000000000000000000e+00,-4.012870450094865760e+00,-2.860683566786865750e+00
1.908174464152526468e+02,0.000000000000000000e+00,-5.314170625566511319e+00,-2.455874038151531380e+00
1.986309836195959235e+02,0.000000000000000000e+00,-6.703799524039354196e+00,-2.061841445435950604e+00
2.063100384723846048e+02,0.000000000000000000e+00,-8.172397438431531214e+00,-1.685554896576853867e+00
2.138331555304319522e+02,0.000000000000000000e+00,-9.709771925757436861e+00,-1.333228215671711681e+00
2.212062274820318919e+02,0.000000000000000000e+00,-1.116535693745237268e+01,-1.009270920272072436e+00
2.283530986252777097e+02,0.000000000000000000e+00,-1.282518313932945375e+01,-7.200131001908572914e-01
2.352828516739182874e+02,0.000000000000000000e+00,-1.451811348218277686e+01,-4.676860709358336976e-01
2.419765936975840930e+02,0.000000000000000000e+00,-1.623125507895780117e+01,-2.544648146683078371e-01
2.484161676112956343e+02,0.000000000000000000e+00,-1.795141446954910691e+01,-8.141067541640950589e-02
2.545841931533586830e+02,0.000000000000000000e+00,-1.966521056701992620e+01,5.151158704775249397e-02
2.604641055954472222e+02,0.000000000000000000e+00,-2.135918976482587084e+01,1.453881652715866557e-01
2.660401919607032255e+02,0.000000000000000000e+00,-2.301994253750154229e+01,2.022837767384261243e-01
2.712976245263049009e+02,0.000000000000000000e+00,-2.463422078090721357e+01,2.251448804549284755e-01
2.762224914118222046e+02,0.000000000000000000e+00,-2.618905504553742247e+01,2.176815632920766630e-01
2.808018241006888616e+02,0.000000000000000000e+00,-2.767187072426625960e+01,1.842316218205463096e-01
2.850236218046651402e+02,0.000000000000000000e+00,-2.907060217073317432e+01,1.296107656425342647e-01
2.888768726545595200e+02,0.000000000000000000e+00,-3.037380365233797619e+01,5.895315894901009823e-02
2.923515717784764547e+02,0.000000000000000000e+00,-3.157075598774058989e+01,-2.245330764727326844e-02
2.954894177833168669e+02,0.000000000000000000e+00,-3.248491600369261079e+01,-1.106814716681913668e-01
2.983302519021619901e+02,0.000000000000000000e+00,-3.295865195328887864e+01,-2.026325249789694971e-01
3.007495603498421133e+02,0.000000000000000000e+00,-3.337089439234884480e+01,-2.904684690572948425e-01
