X,Y,Z,Cp
0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,1.000000000000000000e+00
1.657160567335514423e-01,0.000000000000000000e+00,-5.175295911612862199e+01,9.796394957215387445e-01
7.670159923757161602e-01,0.000000000000000000e+00,-5.345866885169660065e+01,9.178698514038639011e-01
1.836810304502105806e+00,0.000000000000000000e+00,-5.509093537113477623e+01,8.128243587882345578e-01
3.400447029388886211e+00,0.000000000000000000e+00,-5.661496378780108785e+01,6.643809773803719398e-01
5.473681201726001255e+00,0.000000000000000000e+00,-5.798907991536824369e+01,4.744053399487789258e-01
8.061258901505059526e+00,0.000000000000000000e+00,-5.916750540222288635e+01,2.468082437104502647e-01
1.115645500276603208e+01,0.000000000000000000e+00,-6.010405724381233483e+01,-1.262108171327104914e-02
1.474183895154788715e+01,0.000000000000000000e+00,-6.075641332478864598e+01,-2.966047627814805132e-01
1.879131208354917604e+01,0.000000000000000000e+00,-6.109039858704579729e+01,-5.969337287395561908e-01
2.327310691000291243e+01,0.000000000000000000e+00,-6.108370372435741302e+01,-9.050891062147666810e-01
2.815255182005012458e+01,0.000000000000000000e+00,-6.072691049611536585e+01,-1.212770179764679268e+00
3.337732069636297894e+01,0.000000000000000000e+00,-5.997813031913803883e+01,-1.511298914682464245e+00
3.889210796089290056e+01,0.000000000000000000e+00,-5.881947075268923442e+01,-1.793125968929827341e+00
4.464648242520027566e+01,0.000000000000000000e+00,-5.726645527881768771e+01,-2.052378289993107341e+00
5.059133545606597693e+01,0.000000000000000000e+00,-5.535167188562781604e+01,-2.284608879911385060e+00
5.667893010583578928e+01,0.000000000000000000e+00,-5.312466250646608756e+01,-2.486757008852994222e+00
6.286208320231938984e+01,0.000000000000000000e+00,-5.065155416263763044e+01,-2.657041379830126449e+00
6.879958537872826696e+01,0.000000000000000000e+00,-4.742235940628047075e+01,-2.788708404916326433e+00
7.500384604180190706e+01,0.000000000000000000e+00,-4.465297904433032983e+01,-2.895608864472983157e+00
8.115987751286388630e+01,0.000000000000000000e+00,-4.192355783674328507e+01,-2.972023542215189273e+00
8.719144709247447622e+01,0.000000000000000000e+00,-3.935813454998657335e+01,-3.019934495838228816e+00
9.297926056304065412e+01,0.000000000000000000e+00,-3.710490809717372684e+01,-3.042325636332012362e+00
9.852262194499702730e+01,0.000000000000000000e+00,-3.527846498430707101e+01,-3.043415436622574521e+00
1.038229796215423733e+02,0.000000000000000000e+00,-3.390207293660255772e+01,-3.026940077166176302e+00
1.088528407376331586e+02,0.000000000000000000e+00,-3.304231066482746826e+01,-2.996406408183676540e+00
1.145843334890262497e+02,0.000000000000000000e+00,-3.275318425274643630e+01,-2.945020343091883319e+00
1.214591666896365183e+02,0.000000000000000000e+00,-3.266563492351324527e+01,-2.862057119121563797e+00
1.286987189481418739e+02,0.000000000000000000e+00,-3.260592407452840291e+01,-2.752205682301681389e+00
1.359817070702476087e+02,0.000000000000000000e+00,-3.256960834719212983e+01,-2.621332259552931365e+00
1.432887656697693899e+02,0.000000000000000000e+00,-3.256101252231314902e+01,-2.472493305797349716e+00
1.506002225157853900e+02,0.000000000000000000e+00,-3.258342191025458590e+01,-2.308998007591351431e+00
1.578961601882155037e+02,0.000000000000000000e+00,-3.263906948722193135e+01,-2.134330909915377106e+00
1.651564807669666664e+02,0.000000000000000000e+00,-3.272915241842373035e+01,-1.952070643161445185e+00
1.723609719286930044e+02,0.000000000000000000e+00,-3.285387534736481996e+01,-1.765806827743267249e+00
1.794893731267836472e+02,0.000000000000000000e+00,-3.301251696865257657e+01,-1.579057330472040110e+00
1.865214408953254122e+02,0.000000000000000000e+00,-3.320351580409405301e+01,-1.395188062277115781e+00
1.934370127063361622e+02,0.000000000000000000e+00,-3.342457076238972036e+01,-1.217337446491598474e+00
2.001397906287294006e+02,0.000000000000000000e+00,-3.415642598419118769e+01,-1.049899588625729407e+00
2.067689128651722683e+02,0.000000000000000000e+00,-3.436486788717825647e+01,-8.920645969071975268e-01
2.132227926691074344e+02,0.000000000000000000e+00,-3.459632747337256831e+01,-7.476347900779325428e-01
2.194819180472386506e+02,0.000000000000000000e+00,-3.484754748302172089e+01,-6.182575387841460213e-01
2.255271727156166719e+02,0.000000000000000000e+00,-3.511490018749429964e+01,-5.051061051760733500e-01
2.313399078431346823e+02,0.000000000000000000e+00,-3.539448931698333922e+01,-4.088654553280438031e-01
2.369020129235914567e+02,0.000000000000000000e+00,-3.568224955143978860e+01,-3.297320366736005148e-01
2.421959860504743745e+02,0.000000000000000000e+00,-3.597404081063496051e+01,-2.674275621815841442e-01
2.472050038645959660e+02,0.000000000000000000e+00,-3.626573503770022455e+01,-2.212264385457208271e-01
2.519129913734883814e+02,0.000000000000000000e+00,-3.655329369488144664e+01,-1.899960754343445191e-01
2.563046917119681325e+02,0.000000000000000000e+00,-3.683283475205796265e+01,-1.722489253376012774e-01
2.603657357387634192e+02,0.000000000000000000e+00,-3.710068851924598476e+01,-1.662047375921513748e-01
2.640827111608359701e+02,0.000000000000000000e+00,-3.735344222649607104e+01,-1.698611754131391649e-01
2.674432306630179141e+02,0.000000000000000000e+00,-3.758797376332085349e+01,-1.810706519120446334e-01
2.704359983141590078e+02,0.000000000000000000e+00,-3.780147543336788374e+01,-1.976210017250590312e-01
